Active,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
ISO3,AFG,,ALA,ALB,DZA,ASM,AND,AGO,AIA,ATA,ATG,ARG,ARM,ABW,,AUS,AUT,AZE,BHS,BHR,UMI,BGD,BRB,,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BES,BIH,BWA,BVT,BRA,IOT,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,CXR,CPT,CCK,COL,COM,COG,COK,CRI,HRV,CUB,CUW,CYP,CZE,COD,DNK,,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,SWZ,ETH,,,FLK,FRO,FJI,FIN,FRA,GUF,PYF,ATF,GAB,GMB,PSE,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GUM,GTM,GGY,GIN,GNB,GUY,HTI,HMD,VAT,HND,HKG,UMI,HUN,ISL,IND,IDN,IRN,IRQ,IRL,IMN,ISR,ITA,CIV,JAM,,JPN,UMI,JEY,UMI,JOR,,KAZ,KEN,UMI,KIR,KOS,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MYT,MEX,FSM,UMI,MDA,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,UMI,NPL,NLD,NCL,NZL,NIC,NER,NGA,NIU,NFK,PRK,MKD,MNP,NOR,OMN,PAK,PLW,PSE,UMI,PAN,PNG,,PRY,PER,PHL,PCN,POL,PRT,PRI,QAT,REU,ROU,RUS,RWA,BLM,SHN,KNA,LCA,SXM,MAF,SPM,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SGS,KOR,SSD,ESP,,LKA,SDN,SUR,SJM,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TKL,TON,TTO,,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,UMI,USA,URY,UZB,VUT,VEN,VNM,VIR,VGB,UMI,WLF,PSE,ESH,YEM,ZMB,ZWE
FIPS,AF,AX,,AL,AG,AQ,AN,AO,AV,AY,AC,AR,AM,AA,AT,AS,AU,AJ,BF,BA,FQ,BG,BB,BS,BO,BE,BH,BN,BD,BT,BL,NT,BK,BC,BV,BR,IO,BX,BU,UV,BY,CV,CB,CM,CA,CJ,CT,CD,CI,CH,KT,IP,CK,CO,CN,CF,CW,CS,HR,CU,UC,CY,EZ,CG,DA,DX,DJ,DO,DR,EC,EG,ES,EK,ER,EN,WZ,ET,PJ,EU,FK,FO,FJ,FI,FR,FG,FP,FS,GB,GA,GZ,GG,GM,GH,GI,GR,GL,GJ,GP,GQ,GT,GK,GV,PU,GY,HA,HM,VT,HO,HK,HQ,HU,IC,IN,ID,IR,IZ,EI,IM,IS,IT,IV,JM,JN,JA,DQ,JE,JQ,JO,JU,KZ,KE,KQ,KR,KV,KU,KG,LA,LG,LE,LT,LI,LY,LS,LH,LU,MC,MA,MI,MY,MV,ML,MT,RM,MB,MR,MP,MF,MX,FM,MQ,MD,MN,MG,MJ,MH,MO,MZ,BM,WA,NR,BQ,NP,NL,NC,NZ,NU,NG,NI,NE,NF,KN,MK,CQ,NO,MU,PK,PS,,LQ,PM,PP,PF,PA,PE,RP,PC,PL,PO,RQ,QA,RE,RO,RS,RW,TB,SH,SC,ST,NN,RN,SB,VC,WS,SM,TP,SA,SG,RI,SE,SL,SN,LO,SI,BP,SO,SF,SX,KS,OD,SP,PG,CE,SU,NS,SV,SW,SZ,SY,TW,TI,TZ,TH,TT,TO,TL,TN,TD,TE,TS,TU,TX,TK,TV,UG,UP,AE,UK,,US,UY,UZ,NH,VE,VM,VQ,VI,WQ,WF,WE,WI,YM,ZA,ZI
Country / Territory,Afghanistan,Akrotiri,Aland Islands,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua and Barbuda,Argentina,Armenia,Aruba,Ashmore and Cartier Islands,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Baker Island,Bangladesh,Barbados,Bassas da India,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Bouvet Island,Brazil,British Indian Ocean Territory,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Clipperton Island,Cocos Islands,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Dhekelia,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,"Etorofu, Habomai, Kunashiri, and Shikotan Islands",Europa Island,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,French Southern and Antarctic Lands,Gabon,Gambia,Gaza Strip,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Heard Island and McDonald Islands,Holy See,Honduras,Hong Kong,Howland Island,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Ivory Coast,Jamaica,Jan Mayen,Japan,Jarvis Island,Jersey,Johnston Atoll,Jordan,Juan de Nova Island,Kazakhstan,Kenya,Kingman Reef,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Lao,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Midway Islands,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Navassa Island,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Palmyra Atoll,Panama,Papua New Guinea,Paracel Islands,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthelemy,"Saint Helena, Ascension and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,Saint Maarten (Dutch),Saint Martin (French),Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia and the South Sandwich Islands,South Korea,South Sudan,Spain,Spratly Islands,Sri Lanka,Sudan,Suriname,Svalbard and Jan Mayen,Sweden,Switzerland,Syria,Taiwan,Tajikistan,"Tanzania, the United Republic of",Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tromelin Island,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United States Minor Outlying Islands,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Virgin Islands,the British Virgin Islands,Wake Island,Wallis and Futuna,West Bank,Western Sahara,Yemen,Zambia,Zimbabwe
Country Alt Names 1,Afganistan,,oland Islands,Albanian,People’s Democratic Republic of Algeria,Territory of American Samoa,Andora,Republic of Angola,Anguila,,Antigua,Argentine Republic,Republic of Armenia,Country of Aruba,Territory of Ashmore and Cartier Islands,Austrailia,Republic of Austria,Republic of Azerbaijan,Bahamas (the),Kingdom of Bahrain,United States Minor Outlying Islands (the),Bangladesch,,,Republic of Belarus,Kingdom of Belgium,,Republic of Benin,,Kingdom of Bhutan,Bolivia (Plurinational State of),Netherlands Antilles,Bosnia-Herzegovina,Republic of Botswana,,Federative Republic of Brazil,British Indian Ocean Territory (the),Brunei,Republic of Bulgaria,,Republic of Burundi,Cape Verde,Kingdom of Cambodia,Republic of Cameroon,,Cayman Islands (the),Central African Republic (the),Republic of Chad,Republic of Chile,People’s Republic of China,Territory of Christmas Island,,Cocos (Keeling) Islands (the),Republic of Colombia,Comoros (the),Congo (the),Cook Islands (the),Republic of Costa Rica,Republic of Croatia,Republic of Cuba,Curaçao,Republic of Cyprus,Czech Republic,Congo (the Democratic Republic of the),Kingdom of Denmark,,Republic of Djibouti,Commonwealth of Dominica,Dominican Republic (the),Republic of Ecuador,Arab Republic of Egypt,Republic of El Salvador,Republic of Equatorial Guinea,State of Eritrea,Republic of Estonia,Swaziland,Federal Democratic Republic of Ethiopia,Etorofu,,Falkland Islands (the Malvinas),Faroe Islands (the),Republic of Fiji,Republic of Finland,Republic of Finland,Territorial Collectivity of Guiana,,French Southern Territories (the),,Gambia (the),"Palestine, State of",,,,,,,,,,,Channel Islands,,,,,,Holy See (the),,"China, Hong Kong",United States Minor Outlying Islands (the),,,,,Iran (Islamic Republic of),,,,,,Cote d'Ivoire / Ivory Coast,,,,United States Minor Outlying Islands (the),,United States Minor Outlying Islands (the),,,,,United States Minor Outlying Islands (the),Kiribati (Gilbert),The Republic of Kosovo,,Kyrgystan,Lao People's Democratic Republic (the),,,,,,,,,"China, Macau",,,,the Maldives,,,Marshall Islands (the),,,,,,Micronesia (Federated States of),United States Minor Outlying Islands (the),Moldova (the Republic of),,,,,,,Burma,Namibia.,,United States Minor Outlying Islands (the),,Netherlands (Kingdom of the),,,,Niger (the),,,,Korea (the Democratic People's Republic of),Macedonia,Northern Mariana Islands (the),,,,,"Palestine, State of",United States Minor Outlying Islands (the),,,Paracel,,,Philippines (the),Pitcairn Islands,,,,,Réunion,,Russian Federation (the),,Saint Barthélemy,Saint Helena,Nevis,,Sint Maarten (Dutch part),Saint Martin (French part),Saint Pierre & Miquelon,Grenadines,Samoa (Western),,Principe,Saudi Arabian,,,,,,,,the Solomon Islands,,,,Korea (the Republic of),,,Spratly,,Sudan (the),,Svalbard,,,Syrian Arab Republic (the),Taiwan (Province of China),,Tanzania,,East Timor,,Tokelau Islands,,Tobago,,,Turkiye,,Turks and Caicos Islands (the),,,,United Arab Emirates (the),United Kingdom,United States Minor Outlying Islands (the),United States of America (the),,,,Venezuela (Bolivarian Republic of),Viet Nam,U.S. Virigin Islands,British Virgin Islands,United States Minor Outlying Islands (the),Futuna Islands,"Palestine, State of",,,,Zimbawe
Country Alt Names 2,Islamic Republic of Afghanistan,,,Republic of Albania,Democratic Republic of Algeria,,Principality of Andorra,,,,Barbuda,,,,,Commonwealth of Australia,,,"Bahamas, the",,"United States Minor Outlying Islands, the",People’s Republic of Bangladesh,,,,,,,,,"Bolivia, Plurinational State of","Bonaire, Sint Eustatius, and Saba",,,,,"British Indian Ocean Territory, the",,,,,Republic of Cabo Verde,,,,"Cayman Islands, the","Central African Republic, the",,,,,,"Cocos Islands, the",,"Comoros, the","Congo, Republic of the","Cook Islands, the",,,,Country of Curaçao,,the Czech Republic,"Congo, the Democratic Republic of the",,,,,"Dominican Republic, the",,,,,,,"Kingdom of Eswatini, the",,Shikotan,,"Falkland Islands, the Malvinas","Faroe Islands, the",,,,,,"French Southern Territories, the",,"Gambia, the",Palestine,,,,,,,,,,,,,,,,,"Holy See, the",,,"United States Minor Outlying Islands, the",,,,,"Iran, Islamic Republic of",,,,,,Côte d'Ivoire,,,,"United States Minor Outlying Islands, the",,"United States Minor Outlying Islands, the",,,,,"United States Minor Outlying Islands, the",,"Republic of Kosovo, the",,,"Lao Peoples Democratic Republic, the",,,,,,,,,China (Macao),,,,,,,"Marshall Islands, the",,,,,,"Micronesia, Federated States","United States Minor Outlying Islands, the","Moldova, the Republic of",,,,,,,Myanmar (Burma),,,"United States Minor Outlying Islands, the",,"Netherlands, Kingdom of the",,,,"Niger, the",,,,"Korea, Democrative People's Republic of",,"Northern Mariana Islands, the",,,,,Gaza,"United States Minor Outlying Islands, the",,,,,,"Philippines, the",the Pitcairn Islands,,,,,,,"Russian Federation, the",,,Ascension and Tristan da Cunha,Saint Kitts,,Saint Marten,Saint Martin,,St Vincent and Grenadines,,,São Tomé and Príncipe,"Kingdom of Saudi Arabia, the",,,,,,,,,,,,"Korea, Republic of",,,,,"Sudan, the",,Jan Mayen,,,"Syrian Arab Republic, the","Taiwan, Province of China",,"Tanzania, United Republic of",,Timor Leste,,,,Trinidad,,,Türkiye (Turkey),,"Turks and Caicos Islands, the",,,,"United Arab Emirates, the",United Kingdom of Great Britain and Northern Ireland,,"United States of America, the",,,,"Venezuela, Bolivarian Republic of",,Virgin Islands (U.S.),the British Virgin Islands,"United States Minor Outlying Islands, the",Wallis and Futuna Islands,Palestine,,,,
Country Alt Names 3,Republic of Afghanistan,,,,,,,,,,Antigua & Barbuda,,,,,,,,The Bahamas,,United States Minor Outlying Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cocos (Keeling) Islands, the",,Union of the Comoros,"Congo, the",,,,,,,,Congo (Kinshasa),,,,,,,,,,,,The Kingdom of Eswatini,,Kunashiri,,Falkland Islands (Malvinas),Faeroe Islands,,,,,,French Southern,,The Gambia,,,,,,,,,,,,,,,,,,Vatican (the),,,United States Minor Outlying Islands,,,,,,,,,,,Côte d'Ivoir,,,,United States Minor Outlying Islands,,United States Minor Outlying Islands,,,,,United States Minor Outlying Islands,,,,,Lao Peoples Democratic Republic,,,,,,,,,"China, Macao",,,,,,,Marshall Island,,,,,,"Micronesia, Federated States of",United States Minor Outlying Islands,,,,,,,,,,,United States Minor Outlying Islands,,the Netherlands,,,,,,,,"Korea, North",,the Northern Mariana Islands,,,,,West Bank,United States Minor Outlying Islands,,,,,,the Philippines,,,,,,,,Russian Federation,,,"Saint Helena, Ascension, and Tristan da Cunha",Kitts,,Sint Maarten,Sint Maarten (French part),,"Grenadines, the",,,Sao Tome,The Kingdom,,,,,,,,,,,,"Korea, South",,,,,,,,,,Syrian Arab Republic,,,The United Republic of Tanzania,,,,,,Trinidad & Tobago,,,,,the Turks and Caicos Islands,,,,the United Arab Emirates,the United Kingdom,,United States,,,,,,United States Virgin Islands,,United States Minor Outlying Islands,Futuna,,,,,
Country Alt Names 4,,,,,,,,,,,,,,,,,,,Commonwealth of The Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keeling Islands,,,"Congo, Republic of",,,,,,,,Congo Kinshasa,,,,,,,,,,,,Kingdom of Eswatini,,Habomai,,Islas Malvinas,,,,,,,French Southern Territories,,,,,,,,,,,,,,,,,,,,"Vatican, the",,,,,,,,,,,,,,Cote d'Ivoire,,,,,,,,,,,,,,,,Lao Peoples Democratic Republic (the),,,,,,,,,China (Macau),,,,,,,the Marshall Islands,,,,,,Federated States of Micronesia,,,,,,,,,,,,,,,,,,,,,,,,Northern Mariana Is,,,,,West Bank / Gaza,,,,,,,,,,,,,,,the Russian Federation,,,,Saint Kitts & Nevis,,Saint Martin (Dutch part),,,the Grenadines,,,Sao Tome & Principe,The Kingdom of Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turks & Caicos Is,,,,,,,the United States,,,,,,the Virgin Islands,,,Wallis,,,,,
Country Alt Names 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cocos Islands,,,Republic of the Congo,,,,,,,,Kinshasa,,,,,,,,,,,,,,,,Falkland Islands (Islas Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,Vatican City,,,,,,,,,,,,,,Côte d’Ivoire,,,,,,,,,,,,,,,,"Lao People's Democratic Republic, the",,,,,,,,,Macau,,,,,,,,,,,,,the Federated States of Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palestine, The State of",,,,,,,,,,,,,,,,,,,,,,,,St Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States Virgin Is,,,Wallis & Futuna Islands,,,,,
Country Alt Names 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cocos (Keeling) Islands,,,Congo (Brazzaville),,,,,,,,"Congo, Democratic Republic of",,,,,,,,,,,,,,,,"Malvinas, the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cote d’Ivoire,,,,,,,,,,,,,,,,Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaza Strip,,,,,,,,,,,,,,,,,,,,,,,,Saint Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Alt Names 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brazzaville,,,,,,,,Democratic Republic of Congo,,,,,,,,,,,,,,,,The Malvinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Alt Names 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congo Brazzaville,,,,,,,,Democratic Republic Of The; Congo,,,,,,,,,,,,,,,,Malvinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Alt Names 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Republic Of Congo,,,,,,,,the Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Alt Names 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the Republic of the Congo,,,,,,,,"Congo, Democratic Republic (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Alt Names 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republic of the; Congo,,,,,,,,Congo DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Alt Names 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congo (Brazzaville),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,